38,34,17,14
38,34,17,14
39,35,16,13
39,35,16,13
40,36,16,13
40,37,16,13
40,37,16,13
40,37,17,14
41,38,16,13
41,39,16,13
41,39,17,14
42,40,17,14
42,40,17,14
43,41,17,14
43,41,17,14
43,41,17,14
44,42,17,14
44,42,17,14
45,42,18,14
45,43,18,14
46,44,18,14
46,44,18,15
47,45,18,14
47,45,18,14
47,45,18,15
48,46,18,14
49,47,18,14
50,47,18,15
50,48,18,15
51,49,18,14
51,49,18,15
52,50,18,14
53,51,17,14
54,52,17,14
54,52,18,14
55,52,18,15
55,52,19,15
56,53,19,16
57,54,18,15
58,54,19,16
59,55,19,15
60,55,19,16
61,56,19,16
61,57,19,16
62,57,20,16
62,57,20,17
63,58,20,17
64,59,20,17
65,59,21,17
66,60,20,17
67,61,20,16
68,62,20,17
69,62,20,17
69,62,21,17
71,64,20,17
72,64,21,17
72,65,20,17
73,66,21,17
74,66,21,17
75,67,21,17
76,68,21,17
76,68,21,17
77,69,21,17
78,70,21,17
79,70,21,17
79,71,21,17
80,72,21,17
81,73,21,17
82,74,21,17
83,74,21,17
84,75,21,17
85,76,21,17
86,76,22,18
87,77,21,17
87,77,22,18
89,78,22,18
89,78,22,18
90,80,23,19
91,80,23,19
92,81,23,19
93,82,22,18
94,83,23,19
95,84,23,19
96,84,23,19
96,84,24,20
98,86,24,19
98,86,24,20
100,88,24,19
100,88,23,19
101,89,23,19
103,90,23,19
103,91,23,19
104,91,24,20
105,92,24,20
106,92,25,21
106,93,24,20
107,94,24,20
108,95,24,20
109,96,24,20
109,96,25,20
110,98,25,21
111,98,25,20
112,100,26,21
113,101,25,20
113,101,25,21
115,103,25,21
115,103,25,21
116,104,25,21
118,106,25,21
118,107,25,21
119,107,26,21
120,109,25,21
121,110,26,21
122,111,27,22
123,111,27,23
125,113,28,23
125,114,28,23
126,114,29,23
127,116,29,23
128,117,29,23
129,117,29,24
132,120,30,24
133,120,30,25
135,123,29,24
136,123,30,25
138,125,31,25
138,125,32,26
141,128,31,25
142,128,32,26
144,130,32,27
145,131,33,27
146,132,33,28
149,134,34,28
150,135,35,29
152,137,34,28
153,138,36,29
155,141,36,30
157,141,36,30
159,144,36,29
161,146,35,29
163,147,35,29
165,149,36,29
168,152,36,30
170,153,36,30
172,155,36,30
174,157,36,30
176,159,36,30
